Dataset Name,Image Name,Characteristics [Organism],Characteristics [Strain],Characteristics [Mating Type],Characteristics [Genotype],Experimental Condition [Treatment],Experimental Condition [Experimental Genotype],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Comment [Image File Type],Channels
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos0,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos1,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos2,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos3,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos4,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,0uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos5,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos6,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos7,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos8,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos9,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,3nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos10,Saccharomyces cerevisiae,YSP692,Mata,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,10nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,YNR044W;YBR040W,AGA1;FIG1,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus
